"","Order","Family","Tissue_Type","Country","n","Mean","CV","Year_Range","Range"
"124","Passeriformes","Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)","Tail_Hg_ppm","Peru",3,"0.467 ± 0.234",50.185,"2018—2021","0.331—0.738"
"125","Passeriformes","Parulidae (New World Warblers)","Blood_Hg_ppm","Belize",294,"0.18 ± 0.329",183.097,"2007—2023","0.001—3.195"
"126","Passeriformes","Parulidae (New World Warblers)","Blood_Hg_ppm","Colombia",294,"0.18 ± 0.329",183.097,"2007—2023","0.001—3.195"
"127","Passeriformes","Parulidae (New World Warblers)","Blood_Hg_ppm","Costa Rica",294,"0.18 ± 0.329",183.097,"2007—2023","0.001—3.195"
"128","Passeriformes","Parulidae (New World Warblers)","Blood_Hg_ppm","Dominican Republic",294,"0.18 ± 0.329",183.097,"2007—2023","0.001—3.195"
"129","Passeriformes","Parulidae (New World Warblers)","Blood_Hg_ppm","Mexico",294,"0.18 ± 0.329",183.097,"2007—2023","0.001—3.195"
"130","Passeriformes","Parulidae (New World Warblers)","Blood_Hg_ppm","Nicaragua",294,"0.18 ± 0.329",183.097,"2007—2023","0.001—3.195"
"131","Passeriformes","Parulidae (New World Warblers)","Tail_Hg_ppm","Costa Rica",5,"0.49 ± 0.276",56.256,"2010","0.177—0.811"
"132","Passeriformes","Parulidae (New World Warblers)","Tail_Hg_ppm","Nicaragua",5,"0.49 ± 0.276",56.256,"2010","0.177—0.811"
"133","Passeriformes","Passerellidae (New World Sparrows)","Blood_Hg_ppm","Belize",18,"0.034 ± 0.033",96.037,"2008—2021","0.001—0.119"
"134","Passeriformes","Passerellidae (New World Sparrows)","Body_Hg_ppm","Belize",20,"1.609 ± 4.129",256.698,"2018—2021","0.154—19.02"
"135","Passeriformes","Passerellidae (New World Sparrows)","Body_Hg_ppm","Peru",20,"1.609 ± 4.129",256.698,"2018—2021","0.154—19.02"
"136","Passeriformes","Passerellidae (New World Sparrows)","Tail_Hg_ppm","Belize",36,"0.448 ± 0.411",91.534,"2010—2021","0.047—1.773"
"137","Passeriformes","Passerellidae (New World Sparrows)","Tail_Hg_ppm","Costa Rica",36,"0.448 ± 0.411",91.534,"2010—2021","0.047—1.773"
"138","Passeriformes","Passerellidae (New World Sparrows)","Tail_Hg_ppm","Nicaragua",36,"0.448 ± 0.411",91.534,"2010—2021","0.047—1.773"
"139","Passeriformes","Passerellidae (New World Sparrows)","Tail_Hg_ppm","Peru",36,"0.448 ± 0.411",91.534,"2010—2021","0.047—1.773"
"140","Passeriformes","Phaenicophilidae (Hispaniolan Tanagers)","Blood_Hg_ppm","Dominican Republic",4,"0.011 ± 0.006",58.916,"2017","0.004—0.019"
"141","Passeriformes","Pipridae (Manakins)","Blood_Hg_ppm","Belize",39,"0.008 ± 0.013",166.741,"2007—2021","0.001—0.08"
"142","Passeriformes","Pipridae (Manakins)","Body_Hg_ppm","Belize",85,"0.471 ± 0.345",73.283,"2019—2021","0.013—1.24"
"143","Passeriformes","Pipridae (Manakins)","Body_Hg_ppm","Peru",85,"0.471 ± 0.345",73.283,"2019—2021","0.013—1.24"
"144","Passeriformes","Pipridae (Manakins)","Tail_Hg_ppm","Belize",82,"0.373 ± 0.383",102.722,"2007—2021","0.008—2.755"
"145","Passeriformes","Pipridae (Manakins)","Tail_Hg_ppm","Costa Rica",82,"0.373 ± 0.383",102.722,"2007—2021","0.008—2.755"
"146","Passeriformes","Pipridae (Manakins)","Tail_Hg_ppm","Nicaragua",82,"0.373 ± 0.383",102.722,"2007—2021","0.008—2.755"
"147","Passeriformes","Pipridae (Manakins)","Tail_Hg_ppm","Peru",82,"0.373 ± 0.383",102.722,"2007—2021","0.008—2.755"
"148","Passeriformes","Polioptilidae (Gnatcatchers)","Blood_Hg_ppm","Belize",4,"0.062 ± 0.054",88.095,"2007—2021","0.016—0.141"
"149","Passeriformes","Polioptilidae (Gnatcatchers)","Body_Hg_ppm","Belize",1,"0.427",NA,"2021","NA"
"150","Passeriformes","Polioptilidae (Gnatcatchers)","Tail_Hg_ppm","Belize",2,"0.485 ± 0.384",79.348,"2007—2021","0.213—0.756"
"151","Passeriformes","Spindalidae (Spindalises)","Blood_Hg_ppm","Puerto Rico",2,"0.001 ± 0",0,"2010","0.001—0.001"
"152","Passeriformes","Spindalidae (Spindalises)","Tail_Hg_ppm","Puerto Rico",2,"0.034 ± 0.004",10.554,"2010","0.031—0.036"
"153","Passeriformes","Thamnophilidae (Typical Antbirds)","Blood_Hg_ppm","Belize",18,"0.124 ± 0.214",172.365,"2007—2023","0.001—0.791"
"154","Passeriformes","Thamnophilidae (Typical Antbirds)","Blood_Hg_ppm","Colombia",18,"0.124 ± 0.214",172.365,"2007—2023","0.001—0.791"
"155","Passeriformes","Thamnophilidae (Typical Antbirds)","Blood_Hg_ppm","Costa Rica",18,"0.124 ± 0.214",172.365,"2007—2023","0.001—0.791"
"156","Passeriformes","Thamnophilidae (Typical Antbirds)","Body_Hg_ppm","Belize",61,"3.17 ± 3.563",112.391,"2018—2023","0.127—17.802"
"157","Passeriformes","Thamnophilidae (Typical Antbirds)","Body_Hg_ppm","Colombia",61,"3.17 ± 3.563",112.391,"2018—2023","0.127—17.802"
"158","Passeriformes","Thamnophilidae (Typical Antbirds)","Body_Hg_ppm","Peru",61,"3.17 ± 3.563",112.391,"2018—2023","0.127—17.802"
"159","Passeriformes","Thamnophilidae (Typical Antbirds)","Tail_Hg_ppm","Belize",75,"2.346 ± 2.067",88.093,"2007—2021","0.001—8.606"
"160","Passeriformes","Thamnophilidae (Typical Antbirds)","Tail_Hg_ppm","Costa Rica",75,"2.346 ± 2.067",88.093,"2007—2021","0.001—8.606"
"161","Passeriformes","Thamnophilidae (Typical Antbirds)","Tail_Hg_ppm","Nicaragua",75,"2.346 ± 2.067",88.093,"2007—2021","0.001—8.606"
"162","Passeriformes","Thamnophilidae (Typical Antbirds)","Tail_Hg_ppm","Peru",75,"2.346 ± 2.067",88.093,"2007—2021","0.001—8.606"
"163","Passeriformes","Thraupidae (Tanagers and Allies)","Blood_Hg_ppm","Belize",86,"0.067 ± 0.11",164.263,"2007—2023","0.001—0.509"
"164","Passeriformes","Thraupidae (Tanagers and Allies)","Blood_Hg_ppm","Colombia",86,"0.067 ± 0.11",164.263,"2007—2023","0.001—0.509"
"165","Passeriformes","Thraupidae (Tanagers and Allies)","Blood_Hg_ppm","Costa Rica",86,"0.067 ± 0.11",164.263,"2007—2023","0.001—0.509"
"166","Passeriformes","Thraupidae (Tanagers and Allies)","Blood_Hg_ppm","Dominican Republic",86,"0.067 ± 0.11",164.263,"2007—2023","0.001—0.509"
"167","Passeriformes","Thraupidae (Tanagers and Allies)","Blood_Hg_ppm","Nicaragua",86,"0.067 ± 0.11",164.263,"2007—2023","0.001—0.509"
"168","Passeriformes","Thraupidae (Tanagers and Allies)","Blood_Hg_ppm","Puerto Rico",86,"0.067 ± 0.11",164.263,"2007—2023","0.001—0.509"
"169","Passeriformes","Thraupidae (Tanagers and Allies)","Body_Hg_ppm","Belize",61,"1.074 ± 0.998",92.985,"2019—2023","0.001—4.659"
"170","Passeriformes","Thraupidae (Tanagers and Allies)","Body_Hg_ppm","Colombia",61,"1.074 ± 0.998",92.985,"2019—2023","0.001—4.659"
"171","Passeriformes","Thraupidae (Tanagers and Allies)","Body_Hg_ppm","Peru",61,"1.074 ± 0.998",92.985,"2019—2023","0.001—4.659"
"172","Passeriformes","Thraupidae (Tanagers and Allies)","Tail_Hg_ppm","Belize",93,"0.385 ± 0.694",180.32,"2007—2021","0.001—3.349"
"173","Passeriformes","Thraupidae (Tanagers and Allies)","Tail_Hg_ppm","Costa Rica",93,"0.385 ± 0.694",180.32,"2007—2021","0.001—3.349"
"174","Passeriformes","Thraupidae (Tanagers and Allies)","Tail_Hg_ppm","Nicaragua",93,"0.385 ± 0.694",180.32,"2007—2021","0.001—3.349"
"175","Passeriformes","Thraupidae (Tanagers and Allies)","Tail_Hg_ppm","Peru",93,"0.385 ± 0.694",180.32,"2007—2021","0.001—3.349"
"176","Passeriformes","Thraupidae (Tanagers and Allies)","Tail_Hg_ppm","Puerto Rico",93,"0.385 ± 0.694",180.32,"2007—2021","0.001—3.349"
"177","Passeriformes","Tityridae (Tityras and Allies)","Blood_Hg_ppm","Belize",4,"0.014 ± 0.024",170.193,"2007—2021","0.001—0.05"
