ORDER,FAMILY,GENUS,SPECIES,NUMB,BAHA,CUBA,HISP,JAMA,PUER,LANT,NANT,MEXI,GUAT,BELI,ELSA,HOND,NICA,COST,PANA,COLO,VENE,TRIN,GUYA,SURI,FREN,ECUA,PERU,BOLI,BRAZ,PARG,URUG,ARGN,CHIL
PELECANIFORMES,PELECANIDAE,Pelecanus,erythrorhynchos,164,V,V,SV,V,V,,,X,XN,,XN,,XN,XN,,,,,,,,,,,,,,,
PELECANIFORMES,PELECANIDAE,Pelecanus,occidentalis,165,X,X,X,X,X,X,X,X,X,X,XN,X,XN,X,X,X,X,X,X,X,X,X,X,,XN,,,,
PELECANIFORMES,PELECANIDAE,Pelecanus,thagus,166,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X
PELECANIFORMES,SULIDAE,Morus,bassanus,167,V,,,,,,,XN,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,SULIDAE,Morus,capensis,168,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,
PELECANIFORMES,SULIDAE,Morus,serrator,169,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,
PELECANIFORMES,SULIDAE,Sula,dactylatra,170,X,XN,XN,XN,X,X,XN,X,SN,V,,,XN,X,XN,XN,X,V,,,,X,XN,,X,,,,X
PELECANIFORMES,SULIDAE,Sula,leucogaster,171,X,X,X,X,X,X,XN,X,X,X,X,X,X,X,X,X,X,X,X,X,XN,X,,,X,,X,X,V
PELECANIFORMES,SULIDAE,Sula,nebouxii,172,,,,,,,,X,,,X,XN,XN,XN,X,X,,,,,,X,X,,,,,,V
PELECANIFORMES,SULIDAE,Sula,sula,173,X,XN,XN,?,X,X,XN,X,SN,X,,X,,X,XN,XN,X,X,,,SN,X,,,X,,,,
PELECANIFORMES,SULIDAE,Sula,variegata,174,,,,,,,,,,,,,,,XN,XN,,,,,,XN,X,,,,,,X
PELECANIFORMES,PHALACROCORACIDAE,Phalacrocorax,albiventer,175,,,,,,,,,,,,,,,,,,,,,,,,,,,XN,X,X
PELECANIFORMES,PHALACROCORACIDAE,Phalacrocorax,atriceps,176,,,,,,,,,,,,,,,,,,,,,,,,,,,XN,X,X
PELECANIFORMES,PHALACROCORACIDAE,Phalacrocorax,auritus,177,X,X,XN,X?,XN,V,V,X,,X,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,PHALACROCORACIDAE,Phalacrocorax,bougainvillii,178,,,,,,,,,,,,,,,SV,XN,,,,,,XN,X,,,,,X,X
PELECANIFORMES,PHALACROCORACIDAE,Phalacrocorax,brasilianus,179,X,X,,V,XN,V,XN,X,X,X,X,X,X,X,X,X,X,XN,X,X,X,X,X,X,X,X,X,X,X
PELECANIFORMES,PHALACROCORACIDAE,Phalacrocorax,gaimardi,180,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,X
PELECANIFORMES,PHALACROCORACIDAE,Phalacrocorax,magellanicus,181,,,,,,,,,,,,,,,,,,,,,,,,,,,XN,X,X
