GENUS,SPECIES,ORDER,FAMILY,NUMB,SNST,REL,CP,RP,MIN,QMIN,MAX,QMAX,NHAB,NZOO,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,GAN,LAN,BSR,MPL,PAS,MAH,GCS,CDH,CHO,EPC,STP,NAN,CAN,SAN,NSA,TEP,AMN,AMS,CSA,ATL,PAM,PAT
Tachycineta,leucorrhoa,PASSERIFORMES,HIRUNDINIDAE,2845,L,C,4,3,0,,1100,,4,4,N6,N5,N13,N14,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,
Progne,(modesta) elegans,PASSERIFORMES,HIRUNDINIDAE,2853,L,F,4,2,0,,0,,2,2,N14,A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
Notiochelidon,cyanoleuca,PASSERIFORMES,HIRUNDINIDAE,2856,L,C,4,3,0,,3600,,3,13,N14,N13,N7,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Anthus,hellmayri,PASSERIFORMES,MOTACILLIDAE,2878,L,F,4,2,0,,3600,,3,5,N7,N9,N13,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Y,,Y,Y
Mimus,patagonicus,PASSERIFORMES,MIMIDAE,2981,L,F,4,3,0,,1000,,2,4,N1,N14?,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,Y,Y
Mimus,triurus,PASSERIFORMES,MIMIDAE,2985,L,F,4,2,0,,700,,3,5,N1,N14,N2,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,Q,Y,Y
Platycichla,flavipes,PASSERIFORMES,TURDINAE,3036,M,C,4,3,0,,800,,4,3,F1,F4,F12,F15,,,,Y,,,Y,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
Turdus,amaurochalinus,PASSERIFORMES,TURDINAE,3045,L,C,4,3,0,,1000,,5,3,F1E,F7,F15,F8,F3,,,E,,Y,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,
Turdus,(nigriceps) nigriceps,PASSERIFORMES,TURDINAE,3063,M,F,4,2,500,,1800,,2,2,F1,F4,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
Turdus,(nigriceps) subalaris,PASSERIFORMES,TURDINAE,3063.01,L,F,4,2,0,,1000,,3,2,F8,F1,F15,,,,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
